"BehaviorSpace results (NetLogo 6.3.0)"
"Resin dummy.nlogo"
"experiment"
"07/11/2023 12:05:31:743 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","degree-of-cognition","rb","#levels","seed","#subgroups","average-node-degree","world-over-neighbors","rewiring-proportion","degree-of-homophily","update-appearance?","hide-people?","color-communities-louvain?","static-seed?","write-attitudes-to-file?","#items","population-size","[step]","mean [mean-individual-internal-consistency] of people"
"190","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.2899174233864858"
"191","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.2807819507543192"
"192","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.3325719018736886"
"193","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.3423258079681619"
"194","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.2996668705275509"
"195","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.2864338486417848"
"196","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.29929589865535816"
"197","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.3051143301843097"
"199","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.3547372678631398"
"198","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.30098377586851544"
"200","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","6","1000","250","0.3041291085261174"
"202","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.2735594138477043"
"201","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.35096042837025826"
"203","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.26745325575061923"
"204","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.27526230165914417"
"205","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.2600234389909804"
"207","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.2822811316073324"
"206","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.22472608050193352"
"208","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.3676954694035497"
"210","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.2960406983927924"
"209","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","7","1000","250","0.24475314578203997"
"211","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.3281237614333625"
"212","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.30117521052179996"
"213","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.3077880331654945"
"214","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.24319716272639638"
"216","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.23231977003874532"
"215","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.2923199497658485"
"217","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.23747982711254162"
"218","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.2976966796176293"
"219","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.3041038652620461"
"220","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","8","1000","250","0.34633472679039906"
"221","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.3185512623140785"
"222","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.2604292216805798"
"223","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.3384341689777209"
"224","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.30250799008460294"
"225","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.290609094827739"
"226","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.33318674513598984"
"228","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.28789416977514537"
"227","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.28821386645884683"
"229","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.2550221053520232"
"230","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","9","1000","250","0.31555241920287047"
"241","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.6233132710619721"
"242","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.5053611010579498"
"231","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.2642976119049451"
"243","whole-world","0","5","4","1","30","50","0","0","false","true","false","false","false","3","1000","250","0.5070347232226082"
